,ID,건물명,주소,판매 유형,건물 유형,보증금,월 납입 비용,관리비,면적(단위:평),주변 지하철역,준공일자,판매등록일자,구,동
5376,40019964,미등록 건물명,중구 대흥동 124-2,월세,원룸,300.0,46.0,2.7,11.0,"['중앙로역', '대전역', '중구청역']",2014.12.18.,2024-03-07,중구,대흥동
16920,40065454,신당큐브스테이트,중구 황학동 1173,전세,오피스텔,19000.0,0.0,10,5.2,"['신당역', '동묘앞역', '상왕십리역']",2022.10.00,2024-03-09,중구,황학동
16968,40065620,미등록 건물명,중구 삼덕동3가 255-1,월세,원룸,500.0,37.0,8,8.0,"['경대병원역', '대구은행역', '대봉교역']",19991204,2024-07-05,중구,
14035,40054368,미등록 건물명,중구 운남동 1531-3,월세,원룸,300.0,30.0,5,8.0,없음,2017.01.23,2024-05-28,중구,
17020,40065826,미등록 건물명,중구 운남동 1535-1,월세,빌라,500.0,60.0,10,15.0,없음,20161125,2024-03-10,중구,
17025,40065842,미등록 건물명,중구 삼덕동3가 199-5,월세,원룸,300.0,37.0,8,8.0,"['경대병원역', '대구은행역', '대봉교역']",20160706,2024-07-05,중구,
5093,40018675,미등록 건물명,중구 삼덕동3가 254-3,월세,빌라,500.0,51.0,9,10.0,"['경대병원역', '대구은행역', '대봉교역']",20020913,2024-07-30,중구,
17064,40065993,미등록 건물명,중구 삼덕동3가 337,월세,원룸,400.0,36.0,9,8.0,"['경대병원역', '대구은행역', '대봉교역']",20111011,2024-07-05,중구,
5072,40018583,미등록 건물명,중구 신당동 236-72,월세,빌라,10000.0,50.0,3,14.0,"['청구역', '동대문역사문화공원역', '동대입구역']",20110630,2024-03-18,중구,신당동
13970,40054165,미등록 건물명,중구 운남동 1513,월세,빌라,300.0,50.0,5,18.0,없음,20160818,2024-05-28,중구,
17078,40066029,미등록 건물명,중구 완전동 5-62,월세,원룸,500.0,40.0,10,8.0,"['대구역', '중앙로역', '칠성시장역']",20180214,2024-07-05,중구,
13965,40054145,프라임시티2,중구 운서동 3092-7,전세,오피스텔,9000.0,0.0,8,6.4,['운서역'],2019-07-10,2024-07-06,중구,
17092,40066076,미등록 건물명,중구 반구동 781-3,월세,원룸,500.0,35.0,10,10.0,없음,20130520,2024-03-07,중구,
17099,40066090,미등록 건물명,중구 신당동 304-515,월세,원룸,1000.0,60.0,3,6.0,"['청구역', '동대문역사문화공원역', '신당역']",19901206,2024-03-09,중구,신당동
5197,40019183,다사랑빌,중구 보수동2가 72-15,월세,오피스텔,1000.0,45.0,10,7.2,"['토성역', '동대신역', '자갈치역']",2018.10.29,2024-03-14,중구,
7194,40027114,미등록 건물명,중구 반구동 781-3,월세,원룸,500.0,39.0,9,9.0,없음,20130520,2024-03-31,중구,
5416,40020150,미등록 건물명,중구 신당동 304-515,월세,원룸,1000.0,60.0,3,6.5,"['청구역', '동대문역사문화공원역', '신당역']",19901206,2024-03-11,중구,신당동
14216,40055083,미등록 건물명,중구 운남동 1496,월세,원룸,300.0,35.0,8,6.0,없음,20190103,2024-03-12,중구,
14407,40055768,리베라베리움영종,중구 중산동 1873-20,월세,오피스텔,300.0,37.0,8,6.0,없음,20190610,2024-03-11,중구,
5822,40021766,미등록 건물명,중구 예장동 9,월세,빌라,40000.0,60.0,13,18.1,"['충무로역', '명동역', '을지로3가역']",19991125,2024-03-02,중구,예장동
16259,40062991,미등록 건물명,중구 운남동 1521-2,월세,원룸,200.0,30.0,7,7.0,없음,20170125,2024-03-05,중구,
16272,40063040,미등록 건물명,중구 운남동 1522-7,월세,원룸,200.0,30.0,7,7.0,없음,20170615,2024-03-15,중구,
16274,40063053,미등록 건물명,중구 운남동 1545,월세,원룸,200.0,23.0,7,7.0,없음,20161014,2024-03-27,중구,
14387,40055697,미등록 건물명,중구 삼덕동2가 29-79,월세,빌라,500.0,42.0,9,10.0,"['경대병원역', '중앙로역', '반월당(현대백화점)역']",20010227,2024-03-18,중구,
